阿	a
不	b
此	c
的	d
而	e
发	f
个	g
和	h
是	i
就	j
可	k
了	l
们	m
你	n
哦	o
平	p
其	q
人	r
所	s
他	t
这	u
出	v
我	w
下	x
一	y
在	z
啊	aa
爱	ai
安	an
奥	ao
把	ba
保	bc
白	bd
本	bg
比	bi
边	bj
般	bl
表	bm
博	bo
贝	bp
别	bt
部	bu
宾	bx
并	by
擦	ca
草	cc
才	cd
测	ce
凑	cf
仓	ch
词	ci
存	ck
参	cl
错	co
从	cs
粗	cu
层	cz
大	da
到	dc
带	dd
德	de
都	df
当	dh
地	di
点	dj
顿	dk
但	dl
掉	dm
多	do
断	dr
动	ds
跌	dt
独	du
对	dv
定	dy
等	dz
恶	ee
恩	en
儿	er
法	fa
分	fg
方	fh
反	fl
佛	fo
非	fp
富	fu
风	fz
嘎	ga
高	gc
该	gd
各	ge
够	gf
跟	gg
刚	gh
滚	gk
感	gl
过	go
给	gp
光	gq
官	gr
共	gs
古	gu
鬼	gv
挂	gw
怪	gy
更	gz
哈	ha
好	hc
海	hd
何	he
后	hf
很	hg
混	hk
汗	hl
或	ho
黑	hp
黄	hq
还	hr
红	hs
乎	hu
会	hv
话	hw
怀	hy
横	hz
杀	ia
少	ic
射	ie
手	if
神	ig
上	ih
事	ii
顺	ik
山	il
说	io
谁	ip
双	iq
数	iu
水	iv
刷	iw
帅	iy
声	iz
觉	jg
几	ji
见	jj
军	jk
叫	jm
九	jn
将	jq
卷	jr
界	jt
聚	ju
家	jw
进	jx
经	jy
卡	ka
靠	kc
开	kd
科	ke
口	kf
肯	kg
康	kh
困	kk
看	kl
括	ko
况	kq
宽	kr
空	ks
苦	ku
亏	kv
夸	kw
快	ky
坑	kz
拉	la
老	lc
来	ld
乐	le
楼	lf
略	lg
浪	lh
立	li
脸	lj
论	lk
兰	ll
料	lm
留	ln
罗	lo
类	lp
两	lq
乱	lr
龙	ls
烈	lt
路	lu
绿	lv
俩	lw
林	lx
灵	ly
冷	lz
马	ma
毛	mc
买	md
么	me
某	mf
门	mg
忙	mh
米	mi
面	mj
漫	ml
妙	mm
没	mo
美	mp
灭	mt
目	mu
民	mx
明	my
猛	mz
那	na
脑	nc
呢	ne
虐	ng
囊	nh
泥	ni
年	nj
难	nl
鸟	nm
牛	nn
诺	no
内	np
娘	nq
暖	nr
弄	ns
怒	nu
女	nv
您	nx
宁	ny
能	nz
欧	ou
怕	pa
跑	pc
拍	pd
剖	pf
喷	pg
旁	ph
皮	pi
片	pj
盘	pl
